InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales,Month,DayOfWeek,Hour
573564,22939,ADULT APRON APPLE DELIGHT,4,2011-10-31 13:58:00,4.95,16127,United Kingdom,19.8,October,Monday,13
551035,22727,ALARM CLOCK BAKELIKE RED ,4,2011-04-26 11:34:00,3.75,15065,United Kingdom,15.0,April,Tuesday,11
572675,23319,BOX OF 6 MINI 50'S CRACKERS,2,2011-10-25 13:20:00,2.49,17917,United Kingdom,4.98,October,Tuesday,13
566912,22077,6 RIBBONS RUSTIC CHARM,12,2011-09-15 14:05:00,1.95,14367,United Kingdom,23.4,September,Thursday,14
567380,21039,RED RETROSPOT SHOPPING BAG,6,2011-09-20 10:06:00,2.55,12620,France,15.299999999999999,September,Tuesday,10
572881,85036C,ROSE 1 WICK MORRIS BOXED CANDLE,90,2011-10-26 13:36:00,0.5,12748,United Kingdom,45.0,October,Wednesday,13
567613,23358,HOT STUFF HOT WATER BOTTLE,6,2011-09-21 11:49:00,3.75,13908,United Kingdom,22.5,September,Wednesday,11
557263,20676,RED RETROSPOT BOWL,72,2011-06-19 11:08:00,1.06,14646,Netherlands,76.32000000000001,June,Sunday,11
568710,72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,2,2011-09-28 15:42:00,0.42,14649,United Kingdom,0.84,September,Wednesday,15
543277,21657,MILK BOTTLE WITH GLASS STOPPER ,2,2011-02-06 14:33:00,6.95,15808,United Kingdom,13.9,February,Sunday,14
544167,21217,RED RETROSPOT ROUND CAKE TINS,1,2011-02-16 13:14:00,9.95,14755,United Kingdom,9.95,February,Wednesday,13
573576,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,2,2011-10-31 14:09:00,4.13,14096,United Kingdom,8.26,October,Monday,14
547867,85152,HAND OVER THE CHOCOLATE   SIGN ,2,2011-03-27 13:56:00,2.1,13357,United Kingdom,4.2,March,Sunday,13
540798,21094,SET/6 RED SPOTTY PAPER PLATES,6,2011-01-11 12:11:00,0.85,17365,United Kingdom,5.1,January,Tuesday,12
576212,23000,TRAVEL CARD WALLET TRANSPORT,24,2011-11-14 12:45:00,0.42,18082,United Kingdom,10.08,November,Monday,12
576078,23365,SET 12 COLOUR PENCILS LOVE LONDON,4,2011-11-13 16:22:00,0.65,14432,United Kingdom,2.6,November,Sunday,16
563585,22501,PICNIC BASKET WICKER LARGE,2,2011-08-17 17:01:00,9.95,17070,United Kingdom,19.9,August,Wednesday,17
579527,21810,CHRISTMAS HANGING STAR WITH BELL,48,2011-11-30 08:43:00,0.39,18210,United Kingdom,18.72,November,Wednesday,8
576321,23215,JINGLE BELL HEART ANTIQUE SILVER,1,2011-11-14 14:59:00,2.08,14953,United Kingdom,2.08,November,Monday,14
563404,22630,DOLLY GIRL LUNCH BOX,12,2011-08-16 11:04:00,1.95,16303,United Kingdom,23.4,August,Tuesday,11
547498,22248,DECORATION  PINK CHICK MAGIC GARDEN,1,2011-03-23 12:24:00,0.85,15021,United Kingdom,0.85,March,Wednesday,12
575914,22867,HAND WARMER BIRD DESIGN,12,2011-11-11 16:31:00,2.1,17071,United Kingdom,25.200000000000003,November,Friday,16
569243,21524,DOORMAT SPOTTY HOME SWEET HOME,2,2011-10-03 09:44:00,8.25,13344,United Kingdom,16.5,October,Monday,9
557279,22925,BLUE GIANT GARDEN THERMOMETER,6,2011-06-19 12:10:00,5.95,18077,United Kingdom,35.7,June,Sunday,12
560398,21563,RED HEART SHAPE LOVE BUCKET ,12,2011-07-18 14:10:00,2.95,12731,France,35.400000000000006,July,Monday,14
562716,20725,LUNCH BAG RED RETROSPOT,20,2011-08-08 15:35:00,1.65,14257,United Kingdom,33.0,August,Monday,15
567200,21989,PACK OF 20 SKULL PAPER NAPKINS,12,2011-09-19 10:15:00,0.85,16460,United Kingdom,10.2,September,Monday,10
577230,23365,SET 12 COLOUR PENCILS LOVE LONDON,48,2011-11-18 12:08:00,0.65,18034,United Kingdom,31.200000000000003,November,Friday,12
554993,22898,CHILDRENS APRON APPLES DESIGN,2,2011-05-29 14:13:00,1.95,17051,United Kingdom,3.9,May,Sunday,14
567128,21466,RED FLOWER CROCHET FOOD COVER,2,2011-09-16 14:04:00,3.75,18055,United Kingdom,7.5,September,Friday,14
561231,47566,PARTY BUNTING,8,2011-07-26 10:20:00,4.95,15855,United Kingdom,39.6,July,Tuesday,10
541596,22271,FELTCRAFT DOLL ROSIE,2,2011-01-19 16:18:00,2.95,17602,United Kingdom,5.9,January,Wednesday,16
565207,22508,DOORSTOP RETROSPOT HEART,2,2011-09-01 16:46:00,3.75,16764,United Kingdom,7.5,September,Thursday,16
573879,23462,ROCOCO WALL MIRROR WHITE,1,2011-11-01 13:21:00,19.95,15039,United Kingdom,19.95,November,Tuesday,13
537224,21481,FAWN BLUE HOT WATER BOTTLE,2,2010-12-05 16:24:00,2.95,13174,United Kingdom,5.9,December,Sunday,16
576590,23311,VINTAGE CHRISTMAS STOCKING ,6,2011-11-15 14:30:00,2.55,16240,United Kingdom,15.299999999999999,November,Tuesday,14
553889,22430,ENAMEL WATERING CAN CREAM,4,2011-05-19 16:31:00,4.95,13405,United Kingdom,19.8,May,Thursday,16
540288,22485,SET OF 2 WOODEN MARKET CRATES,1,2011-01-06 12:45:00,12.75,17634,United Kingdom,12.75,January,Thursday,12
557805,23165,LARGE CERAMIC TOP STORAGE JAR,12,2011-06-23 10:27:00,1.65,17651,United Kingdom,19.799999999999997,June,Thursday,10
566303,17136A,BLUE STONES ON WIRE FOR CANDLE,24,2011-09-12 08:24:00,0.08,12997,United Kingdom,1.92,September,Monday,8
556507,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2011-06-13 09:55:00,1.65,12567,France,19.799999999999997,June,Monday,9
577695,37489D,PINK/GREEN FLOWER DESIGN BIG MUG,4,2011-11-21 11:55:00,0.39,15645,United Kingdom,1.56,November,Monday,11
543653,22174,PHOTO CUBE,1,2011-02-11 10:26:00,1.65,14796,United Kingdom,1.65,February,Friday,10
546017,35971,ROSE FOLKART HEART DECORATIONS,6,2011-03-08 17:23:00,1.25,14507,United Kingdom,7.5,March,Tuesday,17
563444,20654,FIRST CLASS LUGGAGE TAG ,4,2011-08-16 13:50:00,1.25,16033,United Kingdom,5.0,August,Tuesday,13
576246,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,4,2011-11-14 13:42:00,2.95,17566,United Kingdom,11.8,November,Monday,13
538354,85230F,JASMINE VOTIVE CANDLE,24,2010-12-10 15:45:00,0.29,16873,United Kingdom,6.959999999999999,December,Friday,15
537864,22966,GINGERBREAD MAN COOKIE CUTTER,12,2010-12-08 16:34:00,1.25,16700,United Kingdom,15.0,December,Wednesday,16
570676,35970,ZINC FOLKART SLEIGH BELLS,12,2011-10-11 15:10:00,1.69,14640,United Kingdom,20.28,October,Tuesday,15
569030,22365,DOORMAT RESPECTABLE HOUSE,40,2011-09-30 10:27:00,8.0,17450,United Kingdom,320.0,September,Friday,10
549721,22180,RETROSPOT LAMP,4,2011-04-11 15:35:00,9.95,14911,EIRE,39.8,April,Monday,15
552958,23284,DOORMAT KEEP CALM AND COME IN,10,2011-05-12 12:49:00,6.75,15498,United Kingdom,67.5,May,Thursday,12
553834,23173,REGENCY TEAPOT ROSES ,8,2011-05-19 11:47:00,9.95,15189,United Kingdom,79.6,May,Thursday,11
539472,20618,QUEEN OF THE SKIES PASSPORT COVER ,1,2010-12-19 14:23:00,2.1,15581,United Kingdom,2.1,December,Sunday,14
569669,23131,MISTLETOE HEART WREATH CREAM,1,2011-10-05 13:47:00,4.15,14730,United Kingdom,4.15,October,Wednesday,13
555094,22329,ROUND CONTAINER SET OF 5 RETROSPOT,12,2011-05-31 13:17:00,1.65,13398,United Kingdom,19.799999999999997,May,Tuesday,13
570410,22930,BAKING MOULD HEART MILK CHOCOLATE,1,2011-10-10 13:04:00,2.55,16776,United Kingdom,2.55,October,Monday,13
549578,21175,GIN + TONIC DIET METAL SIGN,12,2011-04-11 08:49:00,2.55,17340,United Kingdom,30.599999999999998,April,Monday,8
557957,22630,DOLLY GIRL LUNCH BOX,2,2011-06-23 19:20:00,1.95,13969,United Kingdom,3.9,June,Thursday,19
551269,22382,LUNCH BAG SPACEBOY DESIGN ,10,2011-04-27 12:21:00,1.65,12840,United Kingdom,16.5,April,Wednesday,12
556408,22549,PICTURE DOMINOES,1,2011-06-10 11:54:00,1.45,13533,United Kingdom,1.45,June,Friday,11
580536,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2011-12-04 16:07:00,1.65,12490,France,19.799999999999997,December,Sunday,16
578103,22727,ALARM CLOCK BAKELIKE RED ,4,2011-11-23 08:42:00,3.75,17554,United Kingdom,15.0,November,Wednesday,8
546917,21576,LETS GO SHOPPING COTTON TOTE BAG,6,2011-03-18 09:17:00,2.25,14911,EIRE,13.5,March,Friday,9
540469,20972,PINK CREAM FELT CRAFT TRINKET BOX ,3,2011-01-07 14:04:00,1.25,12484,Spain,3.75,January,Friday,14
570091,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,6,2011-10-07 11:47:00,3.25,15632,United Kingdom,19.5,October,Friday,11
578116,21519,GIN & TONIC DIET GREETING CARD ,12,2011-11-23 09:51:00,0.42,13078,United Kingdom,5.04,November,Wednesday,9
565857,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4,2011-09-07 14:13:00,4.95,14911,EIRE,19.8,September,Wednesday,14
556503,15056BL,EDWARDIAN PARASOL BLACK,3,2011-06-13 08:44:00,5.95,13517,United Kingdom,17.85,June,Monday,8
550912,21754,HOME BUILDING BLOCK WORD,3,2011-04-21 13:17:00,5.95,13267,United Kingdom,17.85,April,Thursday,13
545661,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2011-03-04 14:41:00,1.25,15358,United Kingdom,15.0,March,Friday,14
554827,22908,PACK OF 20 NAPKINS RED APPLES,96,2011-05-26 15:19:00,0.72,14646,Netherlands,69.12,May,Thursday,15
566605,23393,HOME SWEET HOME CUSHION COVER ,2,2011-09-13 16:27:00,3.75,13263,United Kingdom,7.5,September,Tuesday,16
570818,23266,SET OF 3 WOODEN STOCKING DECORATION,4,2011-10-12 12:47:00,1.25,17841,United Kingdom,5.0,October,Wednesday,12
575040,22730,ALARM CLOCK BAKELIKE IVORY,4,2011-11-08 11:58:00,3.75,13381,United Kingdom,15.0,November,Tuesday,11
571304,23348,CHILDRENS TOY COOKING UTENSIL SET,6,2011-10-17 09:37:00,2.08,12526,Germany,12.48,October,Monday,9
537859,22797,CHEST OF DRAWERS GINGHAM HEART ,1,2010-12-08 16:11:00,16.95,14030,United Kingdom,16.95,December,Wednesday,16
544398,85188A,GREEN METAL SWINGING BUNNY,4,2011-02-18 12:27:00,0.85,15311,United Kingdom,3.4,February,Friday,12
577809,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-11-22 08:34:00,2.95,12584,Italy,17.700000000000003,November,Tuesday,8
542059,22030,SWALLOWS GREETING CARD,12,2011-01-25 11:59:00,0.42,16757,United Kingdom,5.04,January,Tuesday,11
572090,23399,HOME SWEET HOME HANGING HEART,12,2011-10-20 14:33:00,0.85,13573,United Kingdom,10.2,October,Thursday,14
544472,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,6,2011-02-21 09:09:00,2.95,15129,United Kingdom,17.700000000000003,February,Monday,9
564539,85099B,JUMBO BAG RED RETROSPOT,10,2011-08-25 15:22:00,2.08,12715,Sweden,20.8,August,Thursday,15
564850,22189,CREAM HEART CARD HOLDER,2,2011-08-30 16:43:00,3.95,17298,United Kingdom,7.9,August,Tuesday,16
541410,47566B,TEA TIME PARTY BUNTING,5,2011-01-17 16:06:00,4.65,13089,United Kingdom,23.25,January,Monday,16
561465,22869,NUMBER TILE COTTAGE GARDEN 1,1,2011-07-27 12:45:00,1.95,16447,United Kingdom,1.95,July,Wednesday,12
543652,20676,RED RETROSPOT BOWL,8,2011-02-11 10:15:00,1.25,15544,United Kingdom,10.0,February,Friday,10
566971,23199,JUMBO BAG APPLES,10,2011-09-16 09:03:00,2.08,12963,United Kingdom,20.8,September,Friday,9
552325,23204,CHARLOTTE BAG APPLES DESIGN,20,2011-05-09 09:47:00,0.85,12490,France,17.0,May,Monday,9
551136,21530,DAIRY MAID TOASTRACK,18,2011-04-26 13:05:00,0.79,15301,United Kingdom,14.22,April,Tuesday,13
555158,23172,REGENCY TEA PLATE PINK,12,2011-06-01 08:38:00,1.65,14842,United Kingdom,19.799999999999997,June,Wednesday,8
553912,22962,JAM JAR WITH PINK LID,12,2011-05-19 19:32:00,0.85,15122,United Kingdom,10.2,May,Thursday,19
581006,23495,SET OF 3 PANTRY WOODEN SPOONS,12,2011-12-07 08:45:00,1.25,14911,EIRE,15.0,December,Wednesday,8
563580,22530,MAGIC DRAWING SLATE DOLLY GIRL ,1,2011-08-17 15:53:00,0.42,16706,United Kingdom,0.42,August,Wednesday,15
563557,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2011-08-17 13:33:00,0.85,15786,United Kingdom,10.2,August,Wednesday,13
576634,23482,PEARLISED IVORY HEART LARGE ,24,2011-11-16 09:28:00,1.65,13297,United Kingdom,39.599999999999994,November,Wednesday,9
573305,22513,DOORSTOP FOOTBALL DESIGN,2,2011-10-28 16:13:00,3.75,17837,United Kingdom,7.5,October,Friday,16
556927,20685,DOORMAT RED RETROSPOT,50,2011-06-15 14:47:00,6.75,14156,EIRE,337.5,June,Wednesday,14
545830,22244,3 HOOK HANGER MAGIC GARDEN,2,2011-03-07 13:10:00,1.95,17634,United Kingdom,3.9,March,Monday,13
541265,85025C,PINK HEART SHAPE PHOTO FRAME,1,2011-01-16 16:23:00,1.65,17609,United Kingdom,1.65,January,Sunday,16
544790,21060,PARTY INVITES BALLOON GIRL,2,2011-02-23 12:27:00,0.85,16940,United Kingdom,1.7,February,Wednesday,12
571274,21287,SCENTED VELVET LOUNGE CANDLE ,12,2011-10-16 12:25:00,0.38,16934,United Kingdom,4.5600000000000005,October,Sunday,12
544338,22644,CERAMIC CHERRY CAKE MONEY BANK,24,2011-02-18 08:47:00,1.45,12852,United Kingdom,34.8,February,Friday,8
580875,22067,CHOC TRUFFLE GOLD TRINKET POT ,36,2011-12-06 12:11:00,0.39,17744,United Kingdom,14.040000000000001,December,Tuesday,12
565541,23347,I LOVE LONDON BEAKER,3,2011-09-05 12:00:00,1.25,14159,United Kingdom,3.75,September,Monday,12
555560,37342,POLKADOT COFFEE CUP & SAUCER PINK,2,2011-06-05 14:20:00,0.79,17346,United Kingdom,1.58,June,Sunday,14
550513,22431,WATERING CAN BLUE ELEPHANT,3,2011-04-18 16:37:00,1.95,16928,United Kingdom,5.85,April,Monday,16
558459,22355,CHARLOTTE BAG SUKI DESIGN,3,2011-06-29 14:20:00,0.85,15334,United Kingdom,2.55,June,Wednesday,14
571429,20984,12 PENCILS TALL TUBE POSY,1,2011-10-17 12:50:00,0.29,15335,United Kingdom,0.29,October,Monday,12
570983,23501,KEY RING BASEBALL BOOT UNION JACK,40,2011-10-13 11:57:00,1.25,14963,United Kingdom,50.0,October,Thursday,11
552888,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,96,2011-05-12 10:23:00,2.55,15061,United Kingdom,244.79999999999998,May,Thursday,10
562049,22113,GREY HEART HOT WATER BOTTLE,8,2011-08-02 11:33:00,3.75,14133,United Kingdom,30.0,August,Tuesday,11
536632,79066K,RETRO MOD TRAY,10,2010-12-02 11:02:00,0.85,14388,United Kingdom,8.5,December,Thursday,11
567850,79321,CHILLI LIGHTS,4,2011-09-22 13:18:00,5.75,15067,United Kingdom,23.0,September,Thursday,13
550476,84997B,CHILDRENS CUTLERY RETROSPOT RED ,12,2011-04-18 14:00:00,3.39,15769,United Kingdom,40.68,April,Monday,14
577057,21306,SET/4 DAISY MIRROR MAGNETS,1,2011-11-17 14:26:00,0.29,12748,United Kingdom,0.29,November,Thursday,14
549743,22821,GIFT BAG PSYCHEDELIC APPLES,12,2011-04-12 10:05:00,0.65,16186,United Kingdom,7.800000000000001,April,Tuesday,10
566451,23311,VINTAGE CHRISTMAS STOCKING ,2,2011-09-12 16:14:00,2.55,18069,United Kingdom,5.1,September,Monday,16
563844,22469,HEART OF WICKER SMALL,12,2011-08-19 14:04:00,1.65,17725,United Kingdom,19.799999999999997,August,Friday,14
579146,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,5,2011-11-28 13:14:00,2.89,16347,United Kingdom,14.450000000000001,November,Monday,13
561797,20726,LUNCH BAG WOODLAND,30,2011-07-29 13:37:00,1.65,13178,United Kingdom,49.5,July,Friday,13
566171,20725,LUNCH BAG RED RETROSPOT,2,2011-09-09 12:22:00,1.65,18118,United Kingdom,3.3,September,Friday,12
569530,16225,RATTLE SNAKE EGGS,1,2011-10-04 14:58:00,1.25,17957,United Kingdom,1.25,October,Tuesday,14
552978,22354,RETROSPOT PADDED SEAT CUSHION,60,2011-05-12 14:46:00,3.39,12590,Germany,203.4,May,Thursday,14
555853,82583,HOT BATHS METAL SIGN,2,2011-06-07 13:44:00,2.1,14375,United Kingdom,4.2,June,Tuesday,13
559167,23172,REGENCY TEA PLATE PINK,48,2011-07-06 16:54:00,1.45,17997,United Kingdom,69.6,July,Wednesday,16
575965,23371,SET 36 COLOUR PENCILS SPACEBOY ,16,2011-11-13 12:32:00,1.25,13426,United Kingdom,20.0,November,Sunday,12
547666,22759,SET OF 3 NOTEBOOKS IN PARCEL,24,2011-03-24 13:23:00,1.65,14235,United Kingdom,39.599999999999994,March,Thursday,13
547833,22595,GINGHAM HEART DECORATION,12,2011-03-25 17:34:00,0.85,16780,United Kingdom,10.2,March,Friday,17
580137,23103,JINGLE BELL HEART DECORATION,24,2011-12-01 19:54:00,1.65,17566,United Kingdom,39.599999999999994,December,Thursday,19
540998,22285,HANGING HEN ON NEST DECORATION,24,2011-01-13 10:04:00,1.65,15290,United Kingdom,39.599999999999994,January,Thursday,10
580964,23114,VINTAGE LEAF CHOPPING BOARD  ,2,2011-12-06 14:50:00,4.95,15822,United Kingdom,9.9,December,Tuesday,14
575842,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,10,2011-11-11 12:01:00,0.29,15024,United Kingdom,2.9,November,Friday,12
564429,22610,PENS ASSORTED FUNNY FACE,36,2011-08-25 11:31:00,0.19,16638,United Kingdom,6.84,August,Thursday,11
566591,17084A,TRANQUILITY MASALA INCENSE,25,2011-09-13 14:53:00,0.21,16036,United Kingdom,5.25,September,Tuesday,14
552239,23201,JUMBO BAG ALPHABET,1,2011-05-06 16:54:00,2.08,14056,United Kingdom,2.08,May,Friday,16
575854,85230B,CINNAMON SCENTED VOTIVE CANDLE,24,2011-11-11 12:20:00,0.29,14125,United Kingdom,6.959999999999999,November,Friday,12
539471,21985,PACK OF 12 HEARTS DESIGN TISSUES ,12,2010-12-19 14:16:00,0.29,17358,United Kingdom,3.4799999999999995,December,Sunday,14
537144,35953,FOLKART STAR CHRISTMAS DECORATIONS,24,2010-12-05 13:00:00,1.25,15880,United Kingdom,30.0,December,Sunday,13
550352,22179,SET 10 LIGHTS NIGHT OWL,1,2011-04-18 10:21:00,6.75,16719,United Kingdom,6.75,April,Monday,10
568160,22336,DOVE DECORATION PAINTED ZINC ,96,2011-09-25 12:25:00,0.19,17498,United Kingdom,18.240000000000002,September,Sunday,12
566599,23331,DECORATIVE WICKER HEART SMALL,2,2011-09-13 15:37:00,0.63,15998,United Kingdom,1.26,September,Tuesday,15
568170,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,2011-09-25 13:08:00,3.75,16931,United Kingdom,3.75,September,Sunday,13
579002,23289,DOLLY GIRL CHILDRENS BOWL,4,2011-11-27 16:27:00,1.25,14093,United Kingdom,5.0,November,Sunday,16
579529,21936,RED RETROSPOT PICNIC BAG,5,2011-11-30 08:50:00,2.95,12488,France,14.75,November,Wednesday,8
561911,22082,RIBBON REEL STRIPES DESIGN ,10,2011-08-01 10:26:00,1.65,12534,Germany,16.5,August,Monday,10
568346,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1,2011-09-26 15:28:00,5.79,14096,United Kingdom,5.79,September,Monday,15
561894,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,1,2011-07-31 15:00:00,3.29,14456,United Kingdom,3.29,July,Sunday,15
553182,84836,ZINC METAL HEART DECORATION,12,2011-05-15 12:21:00,1.25,17107,United Kingdom,15.0,May,Sunday,12
539214,22926,IVORY GIANT GARDEN THERMOMETER,2,2010-12-16 12:31:00,5.95,17062,United Kingdom,11.9,December,Thursday,12
544150,22180,RETROSPOT LAMP,1,2011-02-16 11:59:00,9.95,14180,United Kingdom,9.95,February,Wednesday,11
549989,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-04-13 16:58:00,4.95,13221,United Kingdom,19.8,April,Wednesday,16
569977,23534,WALL ART STOP FOR TEA ,4,2011-10-06 19:27:00,5.95,14702,United Kingdom,23.8,October,Thursday,19
552655,22789,T-LIGHT HOLDER SWEETHEART HANGING,2,2011-05-10 14:22:00,1.95,14587,United Kingdom,3.9,May,Tuesday,14
564300,22984,CARD GINGHAM ROSE ,12,2011-08-24 11:31:00,0.42,16723,United Kingdom,5.04,August,Wednesday,11
544484,22379,RECYCLING BAG RETROSPOT ,50,2011-02-21 11:10:00,1.85,15321,United Kingdom,92.5,February,Monday,11
549966,22032,BOTANICAL LILY GREETING CARD,12,2011-04-13 14:17:00,0.42,16224,United Kingdom,5.04,April,Wednesday,14
550899,22955,36 FOIL STAR CAKE CASES ,6,2011-04-21 12:07:00,2.1,13505,Switzerland,12.600000000000001,April,Thursday,12
569695,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,12,2011-10-05 15:35:00,1.25,16843,United Kingdom,15.0,October,Wednesday,15
567183,23342,MINT DINER WALL CLOCK,1,2011-09-18 15:32:00,8.5,14769,United Kingdom,8.5,September,Sunday,15
542931,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,2011-02-02 10:46:00,1.25,15589,United Kingdom,15.0,February,Wednesday,10
570793,23407,SET OF 2 TRAYS HOME SWEET HOME,2,2011-10-12 12:08:00,9.95,12444,Norway,19.9,October,Wednesday,12
567213,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,2011-09-19 11:04:00,2.1,14684,United Kingdom,2.1,September,Monday,11
566202,23412,HEART MIRROR ANTIQUE WHITE,4,2011-09-09 14:22:00,7.5,15652,United Kingdom,30.0,September,Friday,14
548703,21985,PACK OF 12 HEARTS DESIGN TISSUES ,1,2011-04-03 11:37:00,0.29,16010,United Kingdom,0.29,April,Sunday,11
551584,22925,BLUE GIANT GARDEN THERMOMETER,2,2011-05-03 11:22:00,5.95,15620,United Kingdom,11.9,May,Tuesday,11
564356,23241,TREASURE TIN GYMKHANA DESIGN,6,2011-08-24 15:47:00,2.08,13969,United Kingdom,12.48,August,Wednesday,15
571203,21213,PACK OF 72 SKULL CAKE CASES,24,2011-10-14 12:33:00,0.55,17677,United Kingdom,13.200000000000001,October,Friday,12
575165,23566,EGG CUP MILKMAID HEIDI,12,2011-11-08 17:05:00,1.25,14342,United Kingdom,15.0,November,Tuesday,17
567462,70007,HI TEC ALPINE HAND WARMER,1,2011-09-20 12:35:00,1.65,14446,United Kingdom,1.65,September,Tuesday,12
560281,23293,SET OF 12 FAIRY CAKE BAKING CASES,1,2011-07-17 15:59:00,0.83,17984,United Kingdom,0.83,July,Sunday,15
571706,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-10-18 15:26:00,2.08,15144,United Kingdom,20.8,October,Tuesday,15
568207,35970,ZINC FOLKART SLEIGH BELLS,12,2011-09-25 15:34:00,1.69,15150,United Kingdom,20.28,September,Sunday,15
573020,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,2011-10-27 12:37:00,0.85,14842,United Kingdom,10.2,October,Thursday,12
546387,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,12,2011-03-11 13:34:00,2.1,16766,United Kingdom,25.200000000000003,March,Friday,13
543036,22132,RED LOVE HEART SHAPE CUP,6,2011-02-02 15:57:00,0.85,17223,United Kingdom,5.1,February,Wednesday,15
560186,84527,FLAMES SUNGLASSES PINK LENSES,1,2011-07-15 11:57:00,1.95,17266,United Kingdom,1.95,July,Friday,11
566296,84792,ENCHANTED BIRD COATHANGER 5 HOOK,2,2011-09-11 15:47:00,4.65,17841,United Kingdom,9.3,September,Sunday,15
563217,20718,RED RETROSPOT SHOPPER BAG,10,2011-08-14 13:21:00,1.25,13515,United Kingdom,12.5,August,Sunday,13
577490,22735,RIBBON REEL SOCKS AND MITTENS,1,2011-11-20 12:11:00,1.65,16464,United Kingdom,1.65,November,Sunday,12
550290,22570,FELTCRAFT CUSHION RABBIT,4,2011-04-15 14:45:00,3.75,15246,United Kingdom,15.0,April,Friday,14
546843,21383,PACK OF 12 STICKY BUNNIES,12,2011-03-17 12:40:00,0.65,12472,Germany,7.800000000000001,March,Thursday,12
570841,21039,RED RETROSPOT SHOPPING BAG,12,2011-10-12 14:18:00,2.55,12553,France,30.599999999999998,October,Wednesday,14
567793,22894,TABLECLOTH RED APPLES DESIGN ,2,2011-09-22 11:40:00,9.95,12657,France,19.9,September,Thursday,11
568173,16161P,WRAP ENGLISH ROSE ,25,2011-09-25 13:16:00,0.42,16187,United Kingdom,10.5,September,Sunday,13
558077,22740,POLKADOT PEN,96,2011-06-26 10:59:00,0.85,13408,United Kingdom,81.6,June,Sunday,10
572306,22112,CHOCOLATE HOT WATER BOTTLE,2,2011-10-23 15:11:00,4.95,17841,United Kingdom,9.9,October,Sunday,15
565967,22556,PLASTERS IN TIN CIRCUS PARADE ,12,2011-09-08 11:27:00,1.65,14646,Netherlands,19.799999999999997,September,Thursday,11
561320,20984,12 PENCILS TALL TUBE POSY,1,2011-07-26 12:57:00,0.29,16942,United Kingdom,0.29,July,Tuesday,12
561197,20751,FUNKY WASHING UP GLOVES ASSORTED,4,2011-07-25 14:35:00,2.1,16364,United Kingdom,8.4,July,Monday,14
569132,21889,WOODEN BOX OF DOMINOES,6,2011-09-30 13:54:00,1.25,17757,United Kingdom,7.5,September,Friday,13
544935,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-25 09:09:00,1.69,13870,United Kingdom,13.52,February,Friday,9
565432,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1,2011-09-04 13:16:00,3.95,16241,United Kingdom,3.95,September,Sunday,13
566746,22598,CHRISTMAS MUSICAL ZINC TREE,24,2011-09-14 15:18:00,0.85,13321,United Kingdom,20.4,September,Wednesday,15
557974,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,10,2011-06-24 10:31:00,4.15,14541,United Kingdom,41.5,June,Friday,10
560996,21385,IVORY HANGING DECORATION  HEART,24,2011-07-22 13:53:00,0.85,17625,United Kingdom,20.4,July,Friday,13
554950,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-05-27 14:48:00,1.25,14227,United Kingdom,15.0,May,Friday,14
550180,15056BL,EDWARDIAN PARASOL BLACK,2,2011-04-14 17:33:00,5.95,14163,United Kingdom,11.9,April,Thursday,17
564167,23206,LUNCH BAG APPLE DESIGN,20,2011-08-23 13:50:00,1.65,17735,United Kingdom,33.0,August,Tuesday,13
541489,21314,SMALL GLASS HEART TRINKET POT,1,2011-01-18 13:38:00,2.1,15023,United Kingdom,2.1,January,Tuesday,13
545053,22055,MINI CAKE STAND  HANGING STRAWBERY,1,2011-02-27 12:41:00,1.65,17516,United Kingdom,1.65,February,Sunday,12
546984,37482P,CUBIC MUG PINK POLKADOT,6,2011-03-18 12:35:00,0.39,15019,United Kingdom,2.34,March,Friday,12
